experiencing,-0.21341702582660424
residue,-0.22060471209288912
side,-0.0024560971640412987
effect,0.002757527568230528
month,-0.02270209312354657
without,0.04741011222751501
cymbalta,-0.07944508856160742
mostly,-0.13186104936213627
tremor,-0.0029985643052154176
restless,-0.11795146957715279
leg,-0.438429912348484
also,-0.09470462063813988
alway,-0.5942197730893808
amount,-0.030510750001526588
anxiety,-0.035969351923322124
nervousness,-0.2434540902237885
never,-0.15596262699264818
rarely,-0.14909659328946523
go,-0.04199691902940514
away,0.021010069410947865
4,0.0185092045180435
1,0.017354326830318373
2,-0.014192786036575838
year,0.03426354181190122
30mg,-0.1535632566345082
still,-0.09636766605845054
dealing,0.09077707841534705
depression,-0.09362486414032306
ptsd,0.1427789768148539
24,0.02336372638529982
hr,0.05863405610636137
psychosis,0.02185062701649787
event,0.10975065516617342
ended,-0.16380083273818474
emergency,-0.3205952519112796
room,-0.02876380806517098
doctor,-0.06514566566857949
thought,-0.2246067057647022
best,-0.31267445461260424
bump,-0.2106842313109854
dosage,-0.19295419225394078
60,-0.0374768482998418
mg,-0.21330802693975864
extra,-0.07917750260090423
almost,0.011277850963513665
last,-0.07488982295337475
nail,-0.25318517092790815
coffin,-0.47136326959770924
within,0.17412484689358135
always,-0.05405035251645446
irritable,-0.3099648818835795
angry,-0.37837298796933655
verbally,-1.2088833771352703
abusive,-0.030790413560043056
family,0.08271124202523958
full,0.01968605345763294
blast,0.06325608821968243
turn,-0.0130731652623029
causing,-0.21253765060108332
slept,-0.036895040133004514
3,-0.013238791538928804
day,-0.030512130771543737
week,-0.03115893469634253
extreme,-0.47423560337005577
migraine,-0.003072032584122364
lived,0.20018201026851257
fog,-0.20055094259999062
even,0.0005100034653461039
comprehend,-0.05692650630997648
basic,0.12763734193298326
responsibility,0.21484929855746165
like,-0.056748812903826135
paying,-0.011177060400819339
bill,0.036431649672796274
working,-0.2562197739686935
cell,0.00027638997424067613
phone,0.03414053203813322
showed,-0.14497454427480216
paranoia,-0.44993235934854614
symptom,-0.15763955313782962
blood,-0.14373493045137686
pressure,-0.18343659861823397
would,0.01894710288887347
raise,-0.019180317560055504
drop,-0.0486319896739812
given,0.13122008335404423
moment,-0.08327057934437974
often,-0.1907607974332346
dizzy,-0.24303647681208862
light,-0.04570674210191997
headed,-0.10236715738836155
probably,-0.06583932823983804
raising,-0.05643848400622001
falling,-0.124313918014808
heart,-0.33155486159132824
beat,-0.0008412089431331649
rapidly,0.15213816156416926
much,-0.04679163467742781
time,-0.046760488999906424
sleep,-0.033361838231632884
pattern,-0.22329668765046393
way,0.023950732310304396
many,0.0977414303512262
resembled,-0.3608865152876951
va,-0.08186059741716338
mil,-0.3755252889202332
expensive,0.026656158431523247
fight,-0.073229431510716
insurance,-0.026971227296221256
get,-0.026450306068779933
covered,0.05226723658451153
brain,-0.09395835920561502
zap,-0.20123493924529082
virtigo,-1.4763637327076313
disorientation,-0.4201816897912274
cognitive,-0.07863574960908483
empairment,1.1310886363837136
take,0.08693713965440455
read,0.013767699053708005
treatment,-0.02460088439473812
emergent,1.1310886363837136
national,0.12181999036540653
library,0.37263193140724815
medicine,0.05881048953281589
hypoglycemia,0.23659113574048937
shaking,-0.4512077570792947
sweating,-0.030496128483817667
hey,-0.2733006570586275
doc,-0.07835600211914323
pill,0.010956946171533075
made,0.04633406620710724
wake,-0.08004967071724589
someone,-0.06340751356878219
house,0.04629565025917021
driving,-0.1349878833919801
thatbi,1.1310886363837136
dont,-0.08555101982764267
remember,0.10668050793766418
caused,-0.0875701513168432
jaundice,-0.24772381571930624
hospitalized,-0.07098997605689106
valve,-0.04777518898270128
exploded,0.012561780641386355
attached,0.13008761926569454
im,-0.23744663603400978
mote,1.131088895147799
depressed,-0.1760205525084279
ever,0.07239419202991004
ok,-0.19060247340187286
patient,0.14874086946794643
here,-0.060327475868858005
attorney,-0.946521496662439
representinf,1.1310886363837136
drug,0.08294105124986365
court,-0.2649121290445845
there,-0.18258595225098206
settlement,-0.5011104908448328
fund,0.29768249287669046
available,0.15522461275278376
seems,-0.35262312146343266
well,-0.07558048564868236
dos,0.03526633974064419
arent,-0.41128239465873506
glad,0.06948902569298185
stopped,-0.1628890122651775
illegal,0.03281447217545275
steeet,1.1310886363837136
demon,-0.18955278497015504
amazing,-0.5998825708487482
ailment,0.02049010283492564
treated,0.13828710632488952
antidepressant,-0.0336458479184909
instead,0.05060230005805172
actually,-0.02269987371726706
curing,0.04242970699716159
problem,0.00488601000129911
making,-0.12803712558416475
stop,-0.13711362762738988
functioning,0.14716708649719257
properly,0.1271790466028899
area,-0.10515803237961693
feel,-0.043212165140874684
hmm,-0.12527287702811843
form,0.04236920676997025
mind,0.018358591110451183
control,0.04155010955131509
feeling,-0.12899672990660063
guilt,-0.17231641306128384
ask,-0.053232500882790995
kill,-0.01999807860377495
people,0.14559931113022978
cattle,1.131089050406273
think,-0.07121313113755247
hit,-0.05910013688035376
narcotic,0.010641875238160625
minute,0.13542987150873256
felt,-0.07062768877470599
silly,-0.023361315217442585
goofy,0.17428741749787904
first,-0.04212425236020717
two,0.008377331012444773
daysm,1.1310886363837136
extremely,-0.08864574306773779
fidgety,-1.0266338251559894
normal,0.09470174940070059
terrible,-0.22510772088792458
straight,0.013241761782185002
remembering,-0.22438030531123898
hour,0.05877337600713446
later,-0.09588169850502581
set,-0.06317390550940384
passed,0.10093349986413071
cold,-0.06135337834896025
awoke,-0.48029611388217
third,-0.055494647865137026
ringing,-0.26401784483667745
ear,-0.304302378604778
nausea,-0.1273034981496989
